Date,Open,High,Low,Close,Volume
9/1/2022,35.2,36.18,35.07,35.66,"92,505"
8/31/2022,36.65,36.87,35.04,35.41,"2,04,807"
8/30/2022,37.13,37.13,36.38,36.43,"1,13,552"
8/29/2022,37.1,37.3,36.66,37.01,"64,626"
8/26/2022,38.03,38.36,37.43,37.52,"87,895"
8/25/2022,38.91,38.91,38.11,38.38,"46,951"
8/24/2022,38.51,39.1,38.13,38.56,"70,144"
8/23/2022,38.22,39.15,38.22,38.77,"71,610"
8/22/2022,39.64,39.66,37.93,38.27,"1,05,002"
8/19/2022,40.15,40.68,39.69,40.18,"1,18,481"
8/18/2022,40.37,40.84,40.05,40.41,"69,637"
8/17/2022,40.4,40.91,40.03,40.63,"1,27,201"
8/16/2022,40.58,41.39,40.41,40.63,"1,24,722"
8/15/2022,40.5,41.51,40.2,41.03,"1,75,105"
8/12/2022,38.4,40.06,38.31,39.85,"86,967"
8/11/2022,38.72,39.13,37.86,38.04,"85,721"
8/10/2022,37.01,38.93,36.96,38.52,"1,08,353"
8/9/2022,36.2,36.41,35.64,36.38,"72,583"
8/8/2022,37.13,37.65,35.74,35.82,"1,64,875"
8/5/2022,34.54,36.81,34.32,36.68,"1,84,548"
8/4/2022,36.16,36.37,34.22,34.24,"1,43,977"
8/3/2022,38.65,38.7,35.81,36,"1,89,742"
8/2/2022,37.84,40.38,37.5,38.66,"2,33,698"
9/1/2022,37.95778656,39.23114625,36.96189723,37.91482213,"92,505"
8/31/2022,37.94687747,39.2669664,36.92716403,37.91105731,"2,04,808"
8/30/2022,37.93596838,39.30278656,36.89243083,37.90729249,"1,13,553"
8/29/2022,37.92505929,39.33860672,36.85769763,37.90352767,"67,110"
8/26/2022,37.9141502,39.37442688,36.82296443,37.89976285,"66,732"
8/25/2022,37.90324111,39.41024704,36.78823123,37.89599802,"66,354"
8/24/2022,37.89233202,39.44606719,36.75349802,37.8922332,"65,975"
8/23/2022,37.88142292,39.48188735,36.71876482,37.88846838,"65,597"
8/22/2022,37.87051383,39.51770751,36.68403162,37.88470356,"1,05,003"
8/19/2022,37.85960474,39.55352767,36.64929842,37.88093874,"1,18,482"
8/18/2022,37.84869565,39.58934783,36.61456522,37.87717391,"69,637"
8/17/2022,37.83778656,39.62516798,36.57983202,37.87340909,"1,27,202"
